,Time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,0.000144958,1,2,4,2,2,1,153,262,422,306
1,0.011147022,1,2,4,1,2,1,153,262,424,306
2,0.022047043,2,1,4,1,2,1,153,263,423,307
3,0.033390045,1,2,3,2,2,1,153,261,424,306
4,0.044594049,0,2,4,1,2,0,153,261,427,306
5,0.055506945,1,2,4,2,2,0,153,262,423,306
6,0.066347837,4,0,6,5,2,1,153,261,424,306
7,0.077255011,2,1,4,1,2,1,153,263,423,306
8,0.088268995,0,2,4,2,2,1,154,262,422,306
9,0.099163055,2,1,5,1,1,0,153,262,424,306
10,0.109986067,1,2,4,2,2,1,153,262,423,306
11,0.120766878,1,3,3,0,3,1,153,263,423,306
12,0.131558895,0,1,4,1,2,0,153,263,422,306
13,0.142344952,2,1,3,2,1,1,153,261,422,306
14,0.153133869,4,0,6,0,1,1,154,257,423,307
15,0.163939953,2,2,5,2,2,1,153,261,422,306
16,0.174697876,1,1,4,1,2,2,153,262,424,306
17,0.185523033,0,1,3,2,3,0,153,262,424,306
18,0.196387052,2,1,3,2,2,2,153,260,423,306
19,0.207231045,2,1,4,2,2,0,154,262,423,306
20,0.218075037,0,1,3,1,2,1,153,261,423,306
21,0.228893995,0,2,4,1,1,1,153,261,422,306
22,0.239709854,0,1,2,4,0,2,154,262,423,306
23,0.250507832,2,3,3,2,2,0,152,261,424,306
24,0.261307955,2,0,5,1,2,1,153,260,423,306
25,0.272214889,0,2,4,2,2,2,153,260,424,306
26,0.283033848,1,1,4,2,2,1,153,260,423,306
27,0.293832064,0,2,4,1,3,1,152,260,422,306
28,0.304640055,2,1,4,0,1,1,154,261,423,306
29,0.315420866,1,1,4,0,1,0,154,262,424,306
30,0.326205969,1,1,4,1,2,1,153,262,422,307
31,0.33701086,0,3,1,0,2,0,150,262,425,305
32,0.348043919,3,2,4,1,3,2,153,262,423,306
33,0.358856916,2,2,4,0,3,2,153,260,423,306
34,0.369679928,1,2,4,0,2,0,153,262,424,306
35,0.3805089,2,2,3,2,3,1,153,260,423,306
36,0.39133501,2,1,5,2,2,1,153,262,424,306
37,0.40228796,0,1,3,1,2,0,153,262,423,306
38,0.413120031,2,2,4,2,3,1,153,261,424,306
39,0.423917055,0,6,0,0,1,2,151,261,426,302
40,0.434685945,1,2,3,1,2,0,153,261,424,307
41,0.445493936,2,3,3,1,2,0,152,261,422,306
42,0.456317902,2,2,4,2,2,0,152,261,422,306
43,0.46716094,1,2,3,1,3,1,152,260,423,306
44,0.478400946,0,1,3,1,2,1,152,261,424,306
45,0.489224911,0,0,3,1,3,1,152,263,422,306
46,0.500066996,1,1,3,2,2,0,152,262,423,306
47,0.510923862,0,2,1,2,4,2,152,263,424,305
48,0.521723032,2,1,4,1,1,1,151,261,423,306
49,0.532701969,1,0,3,1,2,1,151,262,423,306
50,0.543514013,1,2,4,1,2,1,152,261,422,306
51,0.554331064,1,2,4,1,1,1,152,261,424,307
52,0.565145969,0,2,5,1,1,2,152,261,423,306
53,0.575948954,3,2,4,1,2,1,151,262,424,306
54,0.586812973,3,2,3,2,3,1,152,260,423,306
55,0.598115921,0,1,2,2,2,2,152,262,422,306
56,0.608962059,1,1,3,2,3,1,152,259,423,306
57,0.619798899,1,2,4,1,2,2,152,261,423,306
58,0.63060689,1,1,4,2,1,2,152,260,424,306
59,0.641414881,1,2,4,2,3,1,151,260,422,306
60,0.652335882,2,2,4,2,2,2,152,262,423,306
61,0.663184881,0,1,3,1,2,1,152,261,422,306
62,0.673974037,1,2,3,2,2,1,152,261,423,306
63,0.684756041,1,2,4,1,2,1,152,262,423,306
64,0.695636034,0,1,3,4,0,1,152,262,423,306
65,0.706478834,1,2,4,1,3,0,151,262,424,306
66,0.717311859,1,1,4,1,2,0,151,261,423,306
67,0.728538036,1,2,3,1,1,2,151,260,424,306
68,0.739362955,1,1,4,1,2,0,151,261,423,306
69,0.750185013,3,0,3,1,3,1,151,261,423,306
70,0.760990858,2,2,3,2,2,1,151,261,423,306
71,0.771796942,0,2,4,2,3,1,151,261,424,306
72,0.782778978,4,1,7,1,1,1,149,263,423,306
73,0.793688059,1,2,3,1,1,0,151,263,423,306
74,0.804502964,1,1,4,3,2,2,151,261,422,306
75,0.815307856,1,1,3,1,2,0,152,260,424,306
76,0.826105833,1,1,4,1,2,2,152,261,421,306
77,0.836927891,0,1,5,1,1,0,151,263,423,306
78,0.848039865,1,2,3,1,2,1,152,263,424,306
79,0.858850002,0,3,4,1,2,2,152,262,423,306
80,0.869675875,3,1,6,0,1,1,152,261,423,308
81,0.880562067,0,1,3,2,2,1,152,262,423,306
82,0.891371965,1,1,2,1,3,0,152,262,423,306
83,0.902307987,1,3,3,1,2,1,152,262,422,306
84,0.913156986,1,2,4,1,2,0,152,263,423,306
85,0.923941851,0,2,2,1,3,1,152,262,424,306
86,0.934712887,0,2,3,1,2,1,152,263,423,306
87,0.945518017,0,1,4,1,2,1,152,263,423,306
88,0.956351995,2,1,4,1,3,0,151,263,423,306
89,0.967231035,0,5,0,0,4,0,152,263,427,306
90,0.978451967,2,1,3,1,3,1,152,264,424,306
91,0.989274025,1,3,3,1,2,1,152,262,423,306
92,1.000108004,2,2,4,1,1,0,152,261,423,306
93,1.010921001,0,1,4,1,2,0,151,263,422,306
94,1.021726847,2,2,3,1,2,1,151,262,424,306
95,1.032697916,1,1,3,2,2,0,151,262,424,306
96,1.04351306,2,2,4,1,2,1,151,262,424,306
97,1.054313898,4,0,6,0,1,1,151,264,422,308
98,1.065145016,1,1,3,1,2,1,151,262,424,306
99,1.075942993,2,2,3,0,3,1,151,264,423,306
100,1.086786032,1,2,2,1,2,1,152,262,423,306
101,1.098069906,2,2,3,1,2,2,151,263,423,306
102,1.108901024,2,2,4,1,1,1,152,263,424,306
103,1.119694948,0,1,3,1,1,1,152,262,423,306
104,1.130496979,1,1,3,2,2,1,152,262,424,306
105,1.14128685,3,4,0,2,1,1,149,262,425,305
106,1.152051926,2,2,4,0,2,1,152,262,424,306
107,1.162984848,2,1,3,2,2,1,152,262,424,306
108,1.173784017,1,1,3,1,2,1,151,262,423,306
109,1.184610844,1,1,2,3,2,2,152,262,424,305
110,1.195443869,1,2,3,1,3,1,152,262,423,306
111,1.206368923,1,1,2,2,2,1,151,261,424,306
112,1.217288971,1,2,2,2,2,1,152,262,423,306
113,1.228586912,1,2,3,1,3,0,153,262,423,306
114,1.239445925,0,1,3,1,2,1,152,262,424,306
115,1.250279903,2,1,3,1,2,1,152,262,423,306
116,1.261101007,1,3,4,0,2,1,152,260,423,306
117,1.271915913,1,2,4,1,2,3,151,262,423,306
118,1.282819033,3,2,3,1,2,2,152,262,423,305
119,1.293633938,2,1,3,0,2,1,151,263,423,306
120,1.304466963,1,1,3,1,1,1,151,263,425,306
121,1.315300941,1,2,3,2,2,1,152,262,423,305
122,1.326154947,0,1,1,2,4,2,151,263,424,305
123,1.337007046,0,2,2,1,3,0,151,261,423,306
124,1.348052978,1,2,3,2,2,1,151,262,424,305
125,1.358862877,2,2,3,2,3,2,151,262,425,306
126,1.369762897,1,1,3,0,3,2,151,264,423,305
127,1.380626917,1,2,4,1,2,1,151,263,424,306
128,1.391438007,1,2,4,2,2,2,151,261,424,306
129,1.402397871,1,1,3,1,2,1,151,263,423,306
130,1.413256884,0,1,3,4,2,2,152,263,423,306
131,1.424070835,2,1,3,1,1,2,151,262,422,305
132,1.434870958,0,2,3,0,2,0,151,263,423,305
133,1.445719004,1,1,3,0,2,1,151,262,424,305
134,1.456581831,3,1,3,2,2,0,151,264,423,305
135,1.467427969,2,1,4,1,2,0,151,262,424,306
136,1.478674889,1,1,4,1,2,2,151,262,424,306
137,1.489490032,2,1,2,2,2,2,151,264,424,305
138,1.500309944,0,0,3,5,0,2,152,263,425,305
