,Time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,0.000147819,2,2,6,2,1,2,85,257,412,301
1,0.011221886,1,2,5,1,2,1,85,257,412,301
2,0.022279978,0,3,6,1,2,2,85,256,412,301
3,0.033674955,1,2,5,1,2,2,87,256,411,301
4,0.045058966,3,2,5,2,2,2,86,256,410,301
5,0.056419849,2,3,5,1,2,2,86,258,411,296
6,0.067327976,2,3,5,2,1,2,86,257,413,301
7,0.07819581,2,1,9,0,5,1,86,259,407,302
8,0.089036941,1,2,5,1,3,2,87,258,413,301
9,0.099841833,2,3,5,2,3,1,86,257,412,301
10,0.110706806,1,3,5,1,2,1,86,258,412,301
11,0.121595859,1,3,6,2,2,0,86,258,411,301
12,0.132451773,1,2,5,1,2,2,86,259,412,300
13,0.143214941,0,2,5,2,1,2,86,258,412,301
14,0.154006958,1,2,5,1,2,1,87,257,411,301
15,0.164779901,3,3,7,1,5,0,86,259,406,302
16,0.175546884,2,2,7,1,3,0,87,258,411,301
17,0.18656683,1,2,5,1,2,1,86,258,412,301
18,0.197365999,2,2,5,1,2,1,87,259,411,301
19,0.208176851,2,3,6,2,2,1,86,258,411,301
20,0.218997955,1,2,5,1,2,2,86,258,410,301
21,0.229795933,1,2,5,1,3,1,86,257,411,301
22,0.24058795,2,2,5,0,2,1,86,259,411,301
23,0.251397848,1,2,6,1,2,1,86,257,410,300
24,0.262287855,2,1,5,2,2,0,86,258,412,301
25,0.273090839,1,2,6,2,2,1,86,258,413,301
26,0.283912897,2,3,5,0,2,1,86,258,410,301
27,0.294706821,1,3,5,2,2,1,86,258,410,301
28,0.305796861,1,3,5,1,2,1,86,257,410,300
29,0.316778898,0,3,5,2,2,1,86,258,411,301
30,0.32758379,2,3,4,1,2,0,86,257,411,301
31,0.3383708,1,3,5,1,2,0,86,258,411,300
32,0.349129915,1,2,2,1,2,3,86,259,411,297
33,0.359883785,1,3,6,1,2,0,86,258,412,300
34,0.370676994,2,2,5,1,2,1,86,258,410,300
35,0.381500959,0,3,5,1,2,1,86,258,412,300
36,0.39236784,2,3,5,1,2,2,86,258,411,300
37,0.40325284,3,3,5,1,3,1,86,259,411,300
38,0.414111852,1,4,5,1,1,1,86,258,410,300
39,0.424919844,0,3,5,1,2,1,86,258,411,300
40,0.435736894,5,1,4,0,1,1,86,259,409,301
41,0.446741819,1,3,5,0,3,0,86,259,410,300
42,0.45757699,2,3,5,2,2,1,86,258,411,300
43,0.468407869,1,3,5,2,2,1,86,259,411,300
44,0.479246855,1,3,6,1,3,2,86,259,411,300
45,0.490096807,1,3,6,1,1,1,86,258,411,300
46,0.500938892,1,3,5,0,3,0,86,258,411,300
47,0.511881828,1,4,6,1,2,1,87,258,411,299
48,0.522785902,1,6,5,3,0,0,85,260,413,302
49,0.533631801,1,3,4,0,1,2,85,259,410,300
50,0.544449806,1,4,6,1,2,1,86,258,410,300
51,0.555278778,2,4,6,1,2,0,86,258,411,300
