,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,486,30,2,2,1,1,1,0,0,0
1,485,31,2,2,2,1,1,2,0,0
2,486,31,2,2,2,1,1,3,0,0
3,484,33,2,2,1,1,1,5,0,0
4,486,31,2,2,1,1,1,0,0,0
5,485,31,2,2,1,1,1,5,0,0
6,484,32,2,2,2,1,1,2,0,0
7,483,32,2,2,1,1,1,2,0,0
8,486,33,2,2,1,1,1,4,0,0
9,485,32,2,2,2,1,1,0,0,0
10,486,33,2,2,1,1,1,2,0,0
11,485,32,2,2,1,1,1,2,0,0
12,487,33,2,2,1,1,1,4,0,0
13,486,32,2,2,1,1,1,0,0,0
14,487,32,2,2,2,1,1,5,0,0
15,486,32,2,2,2,1,1,1,0,0
16,487,32,2,2,2,1,1,2,0,0
17,485,32,2,2,1,1,1,4,0,0
18,486,32,2,2,1,1,1,0,0,0
19,484,32,2,2,1,1,1,4,0,0
20,486,31,2,2,2,1,1,2,0,0
21,485,31,2,2,2,1,1,4,0,0
22,484,32,2,2,1,1,1,0,0,0
23,486,33,2,2,2,1,1,5,0,0
24,484,33,2,2,1,1,1,2,0,0
25,486,33,2,2,1,1,1,2,0,0
26,486,32,2,2,2,1,1,4,0,0
27,487,32,2,2,2,1,1,0,0,0
28,486,33,2,2,2,1,1,5,0,0
29,486,34,2,2,2,1,1,2,0,0
30,486,34,2,2,2,1,1,4,0,0
31,484,32,2,2,1,1,1,0,0,0
32,486,32,2,2,1,1,1,5,0,0
33,485,32,2,2,2,1,1,2,0,0
34,485,32,2,2,1,1,1,2,0,0
35,487,32,2,2,1,1,1,4,0,0
36,487,32,2,2,2,1,1,0,0,0
37,486,32,2,2,1,1,1,5,0,0
38,487,33,2,2,1,1,1,2,0,0
39,484,32,2,2,2,1,1,2,0,0
40,486,33,2,2,1,1,1,0,0,0
41,486,32,2,2,1,1,1,5,0,0
42,484,32,2,2,2,1,1,2,0,0
43,486,32,2,2,2,1,1,2,0,0
44,487,33,2,2,1,1,1,4,0,0
45,484,32,2,2,1,1,1,0,0,0
46,484,33,2,2,2,1,1,5,0,0
47,487,33,2,2,1,1,1,2,0,0
48,484,33,2,2,1,1,1,2,0,0
49,486,33,2,2,1,1,1,4,0,0
50,486,34,2,2,2,1,1,4,0,0
51,484,32,2,2,2,1,1,2,0,0
52,486,32,2,2,1,1,1,2,0,0
53,487,32,2,2,2,1,1,4,0,0
54,486,33,2,2,1,1,1,0,0,0
55,486,31,2,2,1,1,1,5,0,0
56,486,31,2,2,1,1,1,2,0,0
57,485,31,2,2,1,1,1,2,0,0
58,486,33,2,2,2,1,1,4,0,0
59,486,31,2,2,1,1,1,0,0,0
60,484,32,2,2,1,1,1,2,0,0
61,485,32,2,2,1,1,1,2,0,0
62,487,33,2,2,2,1,1,4,0,0
63,486,31,2,2,1,1,1,0,0,0
64,486,33,2,2,1,1,1,4,0,0
65,486,33,2,2,1,1,1,2,0,0
66,486,31,2,2,1,1,1,2,0,0
67,484,32,2,2,1,1,1,4,0,0
68,486,32,2,2,2,1,1,0,0,0
69,484,33,2,2,1,1,1,5,0,0
70,486,32,2,2,1,1,1,2,0,0
71,484,32,2,2,2,1,1,4,0,0
72,484,33,2,2,1,1,1,0,0,0
73,486,32,2,2,1,1,1,4,0,0
74,484,32,2,2,1,1,1,2,0,0
75,484,31,2,2,1,1,1,2,0,0
76,486,34,2,2,1,1,1,5,0,0
77,485,32,2,2,1,1,1,0,0,0
78,486,32,2,2,1,1,1,5,0,0
79,486,33,2,2,1,1,1,2,0,0
80,487,33,2,2,1,1,1,4,0,0
81,487,32,2,2,1,1,1,0,0,0
82,486,33,2,2,2,1,1,5,0,0
83,484,32,1,2,1,1,1,1,0,0
84,485,32,2,2,1,1,1,2,0,0
85,486,32,2,2,1,1,1,4,0,0
86,485,33,2,2,2,1,1,0,0,0
87,484,34,2,2,1,1,1,5,0,0
88,484,32,2,2,1,1,1,2,0,0
89,484,33,2,2,1,1,1,2,0,0
90,484,33,2,2,1,1,1,0,0,0
91,484,32,2,2,1,1,1,5,0,0
92,487,34,2,2,1,1,1,2,0,0
93,486,32,2,2,2,1,1,2,0,0
94,486,32,2,2,1,1,1,4,0,0
95,486,33,2,2,2,1,1,0,0,0
96,485,33,2,2,1,1,1,5,0,0
97,486,33,2,2,1,1,1,2,0,0
98,486,33,2,2,1,1,1,2,0,0
99,486,33,2,2,1,1,1,4,0,0
100,487,33,2,2,2,1,1,5,0,0
101,487,34,2,2,1,1,1,2,0,0
102,485,32,2,2,1,1,1,2,0,0
103,486,34,2,2,1,1,1,4,0,0
104,487,33,2,2,1,1,1,0,0,0
105,486,34,2,2,2,1,1,4,0,0
106,485,33,2,2,2,1,1,2,0,0
107,485,32,2,2,1,1,1,2,0,0
108,485,32,2,2,2,1,1,4,0,0
109,487,33,2,2,1,1,1,0,0,0
110,484,32,2,2,1,1,1,2,0,0
111,484,32,2,2,2,1,1,2,0,0
112,486,34,2,2,1,1,1,4,0,0
113,484,33,2,2,1,1,1,0,0,0
114,486,32,2,2,1,1,1,4,0,0
115,484,32,2,2,1,1,1,2,0,0
116,484,32,1,2,1,1,1,2,0,0
117,486,33,2,2,2,1,1,4,0,0
118,486,32,2,2,2,1,1,0,0,0
119,486,34,2,2,1,1,1,5,0,0
120,487,32,2,2,1,1,1,2,0,0
121,487,34,2,2,1,1,1,4,0,0
122,484,32,2,2,1,1,1,0,0,0
123,484,32,2,2,1,1,1,4,0,0
124,486,33,2,2,1,1,1,2,0,0
125,486,32,2,2,1,1,1,2,0,0
126,487,33,2,2,1,1,1,4,0,0
127,485,32,2,2,1,1,1,0,0,0
128,486,33,2,2,1,1,1,4,0,0
129,484,32,2,2,2,1,1,2,0,0
130,486,33,2,2,1,1,1,2,0,0
131,486,32,2,2,1,1,1,0,0,0
132,487,33,2,2,2,1,1,4,0,0
133,485,32,2,2,1,1,1,2,0,0
134,485,33,2,2,1,1,1,2,0,0
135,487,34,2,2,1,1,1,4,0,0
136,487,32,2,2,1,1,1,0,0,0
137,485,32,2,2,1,1,1,4,0,0
138,486,33,2,2,1,1,1,2,0,0
139,485,33,2,2,1,1,1,2,0,0
140,487,34,2,2,2,1,1,0,0,0
141,486,32,2,2,1,1,1,4,0,0
142,487,33,2,2,1,1,1,2,0,0
143,485,33,2,2,1,1,1,2,0,0
144,486,33,2,2,1,1,1,4,0,0
145,484,31,2,2,2,1,1,0,0,0
146,485,33,2,2,1,1,1,4,0,0
147,485,32,2,2,1,1,1,2,0,0
148,484,31,2,2,2,1,1,2,0,0
149,487,33,2,2,1,1,1,4,0,0
150,486,32,2,2,2,1,1,0,0,0
151,485,32,2,2,1,1,1,2,0,0
152,485,32,2,2,1,1,1,2,0,0
153,486,33,2,2,1,1,1,4,0,0
154,485,32,2,2,2,1,1,0,0,0
155,486,32,2,2,1,1,1,4,0,0
156,484,32,2,2,1,1,1,2,0,0
157,485,32,2,2,2,1,1,2,0,0
158,487,34,2,2,1,1,1,5,0,0
159,485,33,2,2,2,1,1,0,0,0
160,485,32,2,2,2,1,1,4,0,0
161,484,32,2,2,1,1,1,2,0,0
162,486,34,2,2,1,1,1,4,0,0
163,487,33,2,2,1,1,1,0,0,0
164,485,34,2,2,1,1,1,4,0,0
165,485,33,2,2,2,1,1,2,0,0
166,486,32,2,2,1,1,1,2,0,0
167,487,33,2,2,2,1,1,4,0,0
168,485,33,2,2,1,1,1,0,0,0
169,486,34,2,2,2,1,1,4,0,0
170,487,34,2,2,1,1,1,2,0,0
171,485,33,2,2,1,1,1,4,0,0
172,485,32,2,2,1,1,1,0,0,0
173,487,34,2,2,1,1,1,4,0,0
174,486,34,2,2,1,1,1,2,0,0
175,487,33,2,2,1,1,1,2,0,0
176,484,34,2,2,1,1,1,4,0,0
177,485,32,2,2,1,1,1,0,0,0
178,486,33,2,2,1,1,1,4,0,0
179,485,33,2,2,1,1,1,2,0,0
180,487,33,2,2,2,1,1,2,0,0
181,486,32,2,2,1,1,1,0,0,0
182,486,34,2,2,1,1,1,4,0,0
183,485,33,2,2,1,1,1,2,0,0
184,486,32,1,2,1,1,1,2,0,0
185,484,33,2,2,1,1,1,4,0,0
186,487,33,2,2,1,1,2,0,0,0
187,486,32,2,2,1,1,1,4,0,0
188,485,33,2,2,1,1,1,2,0,0
189,487,34,2,2,2,1,1,2,0,0
190,486,33,2,2,1,1,1,4,0,0
191,487,33,2,2,2,1,1,4,0,0
192,485,32,2,2,2,1,1,2,0,0
193,486,32,2,2,2,1,1,2,0,0
194,487,33,2,2,1,1,1,4,0,0
195,486,32,2,2,2,1,1,0,0,0
196,484,33,2,2,1,1,1,4,0,0
197,486,33,2,2,1,1,1,2,0,0
